variant,text
default,"AI & HW Research Scientist with 8+ years of experience in ML and Chip Design. Currently building LLM-driven circuit design automation at arago.inc (AIMÉE team). Expertise spans LLM-based EDA automation, analog/digital circuit optimization, Bayesian design space exploration, energy-efficient HW accelerators, and ML infrastructure tooling."
ai_focused,"AI Research Scientist with 8+ years bridging ML and hardware. Currently building LLM-driven EDA automation. Expertise in deep learning, neural architecture search, and deploying ML models on custom accelerators."
hardware_focused,"Hardware Design Engineer with 8+ years in chip design and EDA automation. Expertise spans analog/digital circuit optimization, RTL design, synthesis automation, and energy-efficient accelerator architectures."
