authors,title,venue,year,url,tags,weight
"M. Bouvier, et al.","GENIAL: Generative Design Space Exploration via Network Inversion for Low Power Algorithmic Logic Units",Under Review,2025,https://maxencebouvier.xyz/files/GENIAL.pdf,eda|ai|ml|digital|huawei,100
"F. Arnold, M. Bouvier, et al.","Explicit Sign-Magnitude Encoders Enable Power-Efficient Multipliers",International Workshop on Logic and Synthesis,2025,https://maxencebouvier.xyz/files/IWLS.pdf,eda|digital|huawei,95
"F. Arnold*, M. Bouvier*, et al.","The Art of Beating the Odds with Predictor-Guided Random Design Space Exploration","62nd ACM/IEEE Design Automation Conference (DAC) (Poster)",2025,https://arxiv.org/abs/2502.17936,eda|ai|ml|huawei,90
"C. M. Turrero, M. Bouvier, et al.","ALERT-Transformer: Bridging Asynchronous and Synchronous Machine Learning for Real-Time Event-based Spatio-Temporal Data",Proceedings of the 41st ICML,2024,https://dl.acm.org/doi/abs/10.5555/3692070.3694066,ai|ml|transformers|sony,85
"M. Bouvier, et al.","Scalable pitch-constrained neural processing unit for 3D integration with event-based imagers","2021 58th ACM/IEEE Design Automation Conference (DAC)",2021,https://ieeexplore.ieee.org/document/9586099,ai|digital|asic|npu|cea,80
"M. Bouvier","Study and design of an energy-efficient perception module combining event-based image sensors and spiking neural network with 3D integration technologies","Ph.D. Dissertation, Université Grenoble Alpes",2021,https://theses.hal.science/tel-03405455/,ai|neuromorphic|vision|cea,75
"M. Bouvier, et al.","Spiking neural networks hardware implementations and challenges: A survey",ACM Journal on Emerging Technologies in Computing Systems (JETC),2019,https://dl.acm.org/doi/abs/10.1145/3304103,ai|neuromorphic|survey|cea,70
"P. Vivet, et al.","Advanced 3D technologies and architectures for 3D smart image sensors","2019 Design, Automation & Test in Europe Conference & Exhibition (DATE)",2019,https://ieeexplore.ieee.org/abstract/document/8714886/,digital|3d|vision|cea,65
