authors,title,reference,url,year,tags,weight
"M. Bouvier, et al.","Apparatus, method, and computer program for processing visual event data",WO2024200170A1,https://worldwide.espacenet.com/patent/search/family/085781790/publication/WO2024200170A1?q=Maxence%20Bouvier,2024,event_camera|ai|sony,100
"M. Bouvier, A. Valentian","Observation system and associated observation method",US2023196779A1,https://worldwide.espacenet.com/patent/search/family/081324998/publication/US2023196779A1?q=Maxence%20Bouvier,2023,observation|vision|cea,95
"F. Carta, et al.","Pulsing synaptic devices based on phase-change memory to increase the linearity in weight update",US11557343B2,https://worldwide.espacenet.com/patent/search/family/082100862/publication/US11557343B2?q=Maxence%20Bouvier,2023,pcm|memory|ai|ibm,90
"M. Bouvier, A. Bige","Device for compensating for movement of an event sensor, and associated systems and methods",WO2022117535A1,https://worldwide.espacenet.com/patent/search/family/076730579/publication/WO2022117535A1?q=Maxence%20Bouvier,2022,event_camera|vision|cea,85
"M. Bouvier, A. Valentian","Device for compensating movement of an event-driven sensor and associated observation system and method",US2022101006A1,https://worldwide.espacenet.com/patent/search/family/074668916/publication/US2022101006A1?q=Maxence%20Bouvier,2022,event_camera|vision|cea,80
